lambda_0,mean_lambda,mean_t_c,direct_t_c
0.4925212677231025,0.3638480015981498,0.1884965087642399,0.29781861415371663
0.3810525437864887,0.3155251624986031,0.1520127949906757,0.1643874623386408
0.1089691409507923,0.1987128288506282,0.0596880673399069,0.0002344824376313735
0.2293411175979983,0.272910788318315,0.1150860759321927,0.028968768610016397
0.0936555462885738,0.1945124779207014,0.0617077509460376,5.229320603410078e-05
0.4718657214345287,0.381102098008521,0.1987043950907826,0.2724474578828686
0.1880300250208507,0.1951741827328618,0.0621195259867626,0.011114336545470168
0.4198707256046705,0.3760002610988813,0.1956208818574599,0.2095293109658751
0.2193694745621351,0.2416585138529518,0.09529617786036,0.02376029818991628
0.3774912427022519,0.3528173194971476,0.1711440595818864,0.16036747736754509
0.3650266889074228,0.3376872445309069,0.1662450400692114,0.14649772042334785
0.0886697247706422,0.1895859390772889,0.0632191868821276,2.8688150602939737e-05
0.0904503753127606,0.1970330005798525,0.0690730317809885,3.581993641982725e-05
0.3753544620517097,0.3199260971002315,0.1467169162309,0.15796720654055962
0.1584712260216847,0.2089716609362402,0.072435338780977,0.004121600619831969
0.1335421184320266,0.198118628860226,0.0647999893440616,0.0012690406474322878
0.259256046705588,0.287236326188482,0.1319173227021174,0.04791098291213712
0.3454395329441201,0.3225265192003352,0.1534568377543493,0.1254205873649831
0.3714370308590492,0.318493768859669,0.1495862023005276,0.15359040644758248
0.2236430358632193,0.2775773253161827,0.1223266953116414,0.025922831590611737
0.2083294412010008,0.2681606136611881,0.1136699350359523,0.01866118583086801
0.289883236030025,0.2688393130875849,0.1125340523503978,0.07201472438346877
0.313743953294412,0.2874588905980798,0.1309604308466642,0.0936180302793543
0.1955087572977481,0.2297950376490901,0.086448332313484,0.013621848649201448
0.1118181818181818,0.1827407878504551,0.0585084337516526,0.00029624928161979216
0.1716480400333611,0.2466051389488099,0.1000312900778353,0.006690312376753452
0.3141000834028357,0.29608748998974,0.1377201371210048,0.0939569600682445
0.2759941618015012,0.2839875235052702,0.1215766419616984,0.06053794574473516
0.2004945788156797,0.2430072024311141,0.0988448910076938,0.015469485234418764
0.2859658048373644,0.3028139419424278,0.1374661184739995,0.06869069996971543
0.2118907422852377,0.2187101083845012,0.0766135414300502,0.020229097923554568
0.3910241868223519,0.3293048052447513,0.1534495109864388,0.17576549949467976
0.319442035029191,0.3187387317893243,0.151179903096387,0.09909480569421503
0.33190658882402,0.302549702654845,0.1306859108155827,0.11145707317444668
